Rodada,Mandante,Visitante,Proj,λ,1X2,xpts_home,xpts_away,Descanso M,Descanso V,Importante M,Importante V
4,Flamengo,Mirassol,1.09 / 1.64,1.01 x 1.39,27% / 27% / 46%,1.0902226796807573,1.6398813257843063,30.0,5.0,Não tem,Não tem
21,Botafogo,Grêmio,1.69 / 1.04,1.43 x 0.98,47% / 27% / 26%,1.6900934375150873,1.043067641003482,7.0,7.0,Não tem,Não tem
21,São Paulo,Santos,1.48 / 1.24,1.22 x 1.06,40% / 28% / 32%,1.4783566046160876,1.2372518006779565,7.0,7.0,Não tem,Não tem
21,Atlético-MG,Bragantino,1.31 / 1.32,0.73 x 0.73,31% / 37% / 31%,1.3112251348825752,1.3152231220628803,7.0,7.0,Não tem,Não tem
21,Chapecoense,Vasco,1.47 / 1.26,1.26 x 1.12,40% / 28% / 33%,1.4654643237757556,1.2570956290119324,7.0,7.0,Não tem,Não tem
24,Palmeiras,Vasco,1.95 / 0.81,1.64 x 0.83,57% / 24% / 19%,1.9464885948111836,0.8086932515959662,8.0,7.0,Não tem,Não tem
24,Bragantino,Grêmio,1.57 / 1.16,1.35 x 1.07,43% / 27% / 30%,1.5662712780523145,1.1623779544498123,8.0,7.0,Não tem,Não tem
24,Vitória,Bahia,1.23 / 1.48,1.04 x 1.21,32% / 29% / 40%,1.230480747713114,1.484059986688734,7.0,7.0,Não tem,Não tem
24,Santos,Mirassol,1.31 / 1.40,1.12 x 1.19,34% / 28% / 37%,1.3124514681709005,1.404628288548265,7.0,7.0,Não tem,Não tem
24,Chapecoense,São Paulo,1.37 / 1.35,1.14 x 1.13,36% / 29% / 35%,1.3675808392801452,1.3469014259975096,7.0,8.0,Não tem,Não tem
24,Coritiba,Corinthians,1.37 / 1.35,1.14 x 1.12,36% / 29% / 35%,1.366663196941324,1.3465535964234998,8.0,7.0,Não tem,Não tem
24,Botafogo,Athletico-PR,1.56 / 1.16,1.31 x 1.04,43% / 28% / 30%,1.561026422809074,1.1620761708211194,30.0,9.0,Não tem,Não tem
25,Atlético-MG,Vitória,1.33 / 1.29,0.73 x 0.71,32% / 38% / 31%,1.3311080443545937,1.2920052084869835,7.0,13.0,Não tem,Não tem
25,São Paulo,Bragantino,1.36 / 1.36,1.15 x 1.16,36% / 28% / 36%,1.3553185837081148,1.3618314443304613,14.0,14.0,Não tem,Não tem
25,Vasco,Cruzeiro,1.13 / 1.59,0.99 x 1.30,28% / 28% / 44%,1.1263421507613054,1.5937675785955645,13.0,7.0,Não tem,Não tem
25,Athletico-PR,Fluminense,1.50 / 1.21,1.23 x 1.04,41% / 28% / 31%,1.504023706290177,1.211621168047653,15.0,8.0,Não tem,Não tem
