Time,Pts Esperados,Pts Mediana,Pts P10,Pts P90,Pos Esperada,Prob. Campeão,Prob. G4,Prob. G6,Prob. Z4
Palmeiras,73.0,73.0,67.0,79.0,1.24,83.4,99.2,99.9,0.0
Athletico-PR,63.2,63.0,57.0,70.0,3.62,7.6,72.9,89.7,0.0
Fluminense,61.6,61.0,55.0,68.0,4.46,2.9,58.5,81.9,0.0
Flamengo,60.8,61.0,55.0,67.0,4.57,3.1,55.5,80.8,0.0
Cruzeiro,60.0,60.0,54.0,66.0,5.15,2.0,46.5,73.4,0.0
Botafogo,55.3,55.0,49.0,62.0,7.78,0.3,17.5,39.0,0.8
Bragantino,54.9,55.0,48.0,62.0,7.95,0.3,15.8,35.9,0.8
Bahia,55.0,55.0,49.0,61.0,8.25,0.2,12.9,32.4,0.8
Corinthians,53.8,54.0,47.0,60.0,8.94,0.1,9.2,25.1,1.5
Atlético-MG,52.6,53.0,47.0,59.0,9.64,0.0,5.5,17.2,1.5
Coritiba,51.1,51.0,45.0,57.0,10.71,0.0,3.6,11.6,4.7
Vitória,47.5,47.0,41.0,54.0,12.98,0.0,0.8,3.4,15.1
São Paulo,47.3,47.0,41.0,54.0,13.04,0.0,0.8,3.5,16.7
Grêmio,46.7,47.0,40.0,53.0,13.6,0.0,0.6,2.7,21.9
Mirassol,45.1,45.0,39.0,52.0,14.4,0.0,0.3,1.6,29.9
Santos,44.8,45.0,38.0,51.0,14.66,0.0,0.3,1.3,32.9
Internacional,43.9,44.0,38.0,50.0,15.38,0.0,0.1,0.4,41.5
Remo,40.8,41.0,35.0,47.0,16.93,0.0,0.0,0.1,66.4
Vasco,40.7,41.0,34.0,47.0,16.95,0.0,0.0,0.1,66.7
Chapecoense,30.5,30.0,24.0,37.0,19.73,0.0,0.0,0.0,98.8
