Rodada,Mandante,Visitante,Proj,Descanso M/V,Importante M/V
4,Flamengo,Mirassol,2.47 / 1.47,30 / 5,Não tem / Não tem
21,Atlético-MG,Bragantino,3.00 / 3.00,7 / 7,Não tem / Não tem
21,Botafogo,Grêmio,3.00 / 3.00,7 / 7,Não tem / Não tem
21,Chapecoense,Vasco,3.00 / 0.77,7 / 7,Não tem / Não tem
21,São Paulo,Santos,0.62 / 3.00,7 / 7,Não tem / Não tem
24,Bragantino,Grêmio,2.15 / 3.00,8 / 7,Não tem / Não tem
24,Palmeiras,Vasco,0.00 / 3.00,8 / 7,Não tem / Não tem
24,Vitória,Bahia,0.00 / 0.00,7 / 7,Não tem / Não tem
24,Chapecoense,São Paulo,3.00 / 3.00,7 / 8,Não tem / Não tem
24,Santos,Mirassol,3.00 / 3.00,7 / 7,Não tem / Não tem
24,Coritiba,Corinthians,0.62 / 3.00,8 / 7,Não tem / Não tem
24,Botafogo,Athletico-PR,3.00 / 0.00,30 / 9,Não tem / Não tem
25,Athletico-PR,Fluminense,0.00 / 0.00,15 / 8,Não tem / Não tem
25,Corinthians,Santos,1.74 / 3.00,14 / 14,Não tem / Não tem
25,Flamengo,Botafogo,0.00 / 3.00,8 / 30,Não tem / Não tem
25,Atlético-MG,Vitória,3.00 / 0.00,7 / 13,Não tem / Não tem
25,Grêmio,Chapecoense,3.00 / 3.00,14 / 7,Não tem / Não tem
25,Mirassol,Palmeiras,3.00 / 0.00,14 / 15,Não tem / Não tem
25,Bahia,Internacional,0.00 / 3.00,14 / 8,Não tem / Não tem
25,Remo,Coritiba,3.00 / 1.68,9 / 16,Não tem / Não tem
25,São Paulo,Bragantino,3.00 / 2.17,14 / 14,Não tem / Não tem
25,Vasco,Cruzeiro,3.00 / 3.00,13 / 7,Não tem / Não tem
26,Coritiba,Mirassol,2.06 / 3.00,10 / 10,Não tem / Não tem
26,Bragantino,Bahia,2.37 / 0.75,6 / 6,Não tem / Não tem
26,Cruzeiro,Athletico-PR,3.00 / 0.00,9 / 10,Não tem / Não tem
26,Internacional,Santos,3.00 / 3.00,9 / 10,Não tem / Não tem
26,Remo,Flamengo,3.00 / 0.77,9 / 30,Não tem / Não tem
26,Botafogo,Palmeiras,3.00 / 0.00,30 / 9,Não tem / Não tem
26,São Paulo,Atlético-MG,3.00 / 3.00,6 / 7,Não tem / Não tem
26,Corinthians,Chapecoense,1.64 / 3.00,10 / 7,Não tem / Não tem
26,Vitória,Grêmio,0.00 / 3.00,30 / 30,Não tem / Não tem
26,Fluminense,Vasco,0.00 / 3.00,6 / 6,Não tem / Não tem
27,Atlético-MG,Fluminense,3.00 / 0.00,22 / 22,Não tem / Não tem
27,Bahia,Remo,1.30 / 3.00,28 / 22,Não tem / Não tem
27,Botafogo,Bragantino,3.00 / 0.42,30 / 29,Não tem / Não tem
27,Chapecoense,Internacional,3.00 / 3.00,7 / 22,Não tem / Não tem
27,Coritiba,Athletico-PR,2.56 / 0.00,29 / 29,Não tem / Não tem
27,Flamengo,Corinthians,2.12 / 1.05,22 / 28,Não tem / Não tem
27,Grêmio,Vasco,3.00 / 3.00,28 / 28,Não tem / Não tem
27,Mirassol,Vitória,3.00 / 0.88,28 / 28,Não tem / Não tem
27,Palmeiras,São Paulo,0.00 / 3.00,29 / 29,Não tem / Não tem
27,Santos,Cruzeiro,3.00 / 2.91,28 / 22,Não tem / Não tem
28,Athletico-PR,Bahia,0.00 / 1.85,30 / 30,Não tem / Não tem
28,Atlético-MG,Chapecoense,3.00 / 3.00,29 / 7,Não tem / Não tem
28,Corinthians,Fluminense,0.00 / 0.00,30 / 29,Não tem / Não tem
28,Flamengo,Bragantino,1.56 / 1.43,29 / 30,Não tem / Não tem
28,Grêmio,Palmeiras,2.47 / 0.81,30 / 30,Não tem / Não tem
28,Mirassol,Botafogo,3.00 / 2.67,30 / 30,Não tem / Não tem
28,Remo,Santos,3.00 / 3.00,29 / 30,Não tem / Não tem
28,São Paulo,Internacional,3.00 / 3.00,30 / 29,Não tem / Não tem
28,Vasco,Coritiba,3.00 / 0.82,30 / 30,Não tem / Não tem
28,Vitória,Cruzeiro,2.15 / 0.90,30 / 29,Não tem / Não tem
29,Athletico-PR,Atlético-MG,0.00 / 2.45,30 / 30,Não tem / Não tem
29,Botafogo,Vasco,2.68 / 3.00,30 / 30,Não tem / Não tem
29,Bragantino,Mirassol,1.47 / 3.00,30 / 30,Não tem / Não tem
29,Cruzeiro,São Paulo,0.06 / 2.27,30 / 30,Não tem / Não tem
29,Fluminense,Coritiba,0.00 / 1.06,30 / 30,Não tem / Não tem
29,Internacional,Corinthians,3.00 / 0.59,30 / 30,Não tem / Não tem
29,Palmeiras,Bahia,3.00 / 2.12,30 / 30,Não tem / Não tem
29,Remo,Grêmio,3.00 / 2.20,30 / 30,Não tem / Não tem
29,Santos,Flamengo,1.60 / 1.41,30 / 30,Não tem / Não tem
29,Vitória,Chapecoense,1.11 / 3.00,30 / 7,Não tem / Não tem
30,Atlético-MG,Santos,1.97 / 0.00,30 / 30,Não tem / Não tem
30,Bahia,Mirassol,2.64 / 3.00,30 / 30,Não tem / Não tem
30,Bragantino,Cruzeiro,0.90 / 0.00,30 / 30,Não tem / Não tem
30,Chapecoense,Athletico-PR,3.00 / 0.00,7 / 30,Não tem / Não tem
30,Coritiba,Botafogo,1.46 / 0.82,30 / 30,Não tem / Não tem
30,Flamengo,Fluminense,3.00 / 0.00,30 / 30,Não tem / Não tem
30,Grêmio,Internacional,0.47 / 3.00,30 / 30,Não tem / Não tem
30,Palmeiras,Corinthians,3.00 / 0.00,30 / 30,Não tem / Não tem
30,São Paulo,Vitória,0.20 / 2.08,30 / 30,Não tem / Não tem
30,Vasco,Remo,2.27 / 3.00,30 / 30,Não tem / Não tem
31,Athletico-PR,Palmeiras,0.12 / 3.00,30 / 30,Não tem / Não tem
31,Atlético-MG,Coritiba,0.84 / 1.06,30 / 30,Não tem / Não tem
31,Bahia,Flamengo,2.52 / 3.00,30 / 30,Não tem / Não tem
31,Botafogo,Chapecoense,0.28 / 1.93,30 / 7,Não tem / Não tem
31,Corinthians,Vitória,0.46 / 2.27,30 / 30,Não tem / Não tem
31,Fluminense,Santos,2.06 / 0.00,30 / 30,Não tem / Não tem
31,Grêmio,Cruzeiro,0.00 / 0.34,30 / 30,Não tem / Não tem
31,Mirassol,Internacional,3.00 / 2.49,30 / 30,Não tem / Não tem
31,Remo,Bragantino,2.59 / 0.70,30 / 30,Não tem / Não tem
31,São Paulo,Vasco,0.00 / 0.40,30 / 30,Não tem / Não tem
32,Chapecoense,Fluminense,0.00 / 2.74,7 / 30,Não tem / Não tem
32,Coritiba,Grêmio,0.95 / 0.13,30 / 30,Não tem / Não tem
32,Cruzeiro,Remo,1.10 / 0.69,30 / 30,Não tem / Não tem
32,Flamengo,Atlético-MG,3.00 / 0.61,30 / 30,Não tem / Não tem
32,Internacional,Botafogo,0.71 / 0.40,30 / 30,Não tem / Não tem
32,Mirassol,São Paulo,3.00 / 0.00,30 / 30,Não tem / Não tem
32,Palmeiras,Bragantino,3.00 / 0.79,30 / 30,Não tem / Não tem
32,Santos,Bahia,0.00 / 1.73,30 / 30,Não tem / Não tem
32,Vasco,Corinthians,0.07 / 0.96,30 / 30,Não tem / Não tem
32,Vitória,Athletico-PR,2.12 / 1.99,30 / 30,Não tem / Não tem
33,Atlético-MG,Cruzeiro,1.00 / 1.64,30 / 30,Não tem / Não tem
33,Bahia,São Paulo,1.28 / 0.00,30 / 30,Não tem / Não tem
33,Bragantino,Chapecoense,1.55 / 0.00,30 / 7,Não tem / Não tem
33,Corinthians,Mirassol,1.47 / 3.00,30 / 30,Não tem / Não tem
33,Coritiba,Vitória,0.99 / 1.46,30 / 30,Não tem / Não tem
33,Fluminense,Internacional,2.66 / 0.35,30 / 30,Não tem / Não tem
33,Grêmio,Athletico-PR,0.79 / 2.40,30 / 30,Não tem / Não tem
33,Remo,Botafogo,0.47 / 0.87,30 / 30,Não tem / Não tem
33,Santos,Palmeiras,0.08 / 3.00,30 / 30,Não tem / Não tem
33,Vasco,Flamengo,0.44 / 2.24,30 / 30,Não tem / Não tem
34,Athletico-PR,Vasco,2.18 / 1.25,6 / 7,Não tem / Não tem
34,Botafogo,Atlético-MG,1.34 / 1.66,30 / 6,Não tem / Não tem
34,Bragantino,Santos,1.63 / 0.98,6 / 6,Não tem / Não tem
34,Chapecoense,Mirassol,0.00 / 2.38,7 / 6,Não tem / Não tem
34,Cruzeiro,Bahia,2.26 / 1.53,7 / 6,Não tem / Não tem
34,Flamengo,Grêmio,2.21 / 1.48,30 / 6,Não tem / Não tem
34,Internacional,Coritiba,1.43 / 1.59,6 / 7,Não tem / Não tem
34,Palmeiras,Remo,3.00 / 1.45,6 / 6,Não tem / Não tem
34,São Paulo,Corinthians,0.69 / 1.63,7 / 6,Não tem / Não tem
34,Vitória,Fluminense,1.63 / 2.33,6 / 7,Não tem / Não tem
35,Corinthians,Botafogo,0.99 / 1.35,30 / 30,Não tem / Não tem
35,Coritiba,Santos,1.14 / 0.86,30 / 30,Não tem / Não tem
35,Cruzeiro,Palmeiras,1.98 / 2.35,30 / 30,Não tem / Não tem
35,Flamengo,Athletico-PR,2.23 / 1.42,30 / 30,Não tem / Não tem
35,Grêmio,Bahia,1.13 / 0.88,30 / 30,Não tem / Não tem
35,Mirassol,Atlético-MG,1.63 / 1.30,30 / 30,Não tem / Não tem
35,Remo,Chapecoense,1.12 / 0.43,30 / 7,Não tem / Não tem
35,São Paulo,Fluminense,0.60 / 1.66,30 / 30,Não tem / Não tem
35,Vasco,Internacional,0.93 / 0.97,30 / 30,Não tem / Não tem
35,Vitória,Bragantino,1.26 / 0.91,30 / 30,Não tem / Não tem
36,Athletico-PR,Remo,1.64 / 1.34,30 / 30,Não tem / Não tem
36,Atlético-MG,Corinthians,1.74 / 1.22,30 / 30,Não tem / Não tem
36,Bahia,Coritiba,1.04 / 1.18,30 / 30,Não tem / Não tem
36,Botafogo,São Paulo,1.86 / 1.24,30 / 30,Não tem / Não tem
36,Bragantino,Vasco,1.26 / 1.26,30 / 30,Não tem / Não tem
36,Chapecoense,Cruzeiro,0.66 / 2.16,7 / 30,Não tem / Não tem
36,Fluminense,Mirassol,1.91 / 1.71,30 / 30,Não tem / Não tem
36,Internacional,Vitória,1.29 / 1.23,30 / 30,Não tem / Não tem
36,Palmeiras,Flamengo,1.77 / 1.84,30 / 30,Não tem / Não tem
36,Santos,Grêmio,1.59 / 1.70,30 / 30,Não tem / Não tem
37,Atlético-MG,Vasco,2.10 / 1.74,30 / 30,Não tem / Não tem
37,Botafogo,Bahia,2.08 / 1.02,30 / 30,Não tem / Não tem
37,Chapecoense,Palmeiras,0.93 / 1.55,7 / 30,Não tem / Não tem
37,Corinthians,Grêmio,1.24 / 1.94,30 / 30,Não tem / Não tem
37,Coritiba,Flamengo,1.34 / 1.75,30 / 30,Não tem / Não tem
37,Fluminense,Cruzeiro,1.50 / 2.16,30 / 30,Não tem / Não tem
37,Internacional,Bragantino,1.48 / 1.29,30 / 30,Não tem / Não tem
37,Mirassol,Athletico-PR,1.83 / 1.60,30 / 30,Não tem / Não tem
37,São Paulo,Remo,1.49 / 1.48,30 / 30,Não tem / Não tem
37,Vitória,Santos,1.27 / 1.67,30 / 30,Não tem / Não tem
38,Athletico-PR,São Paulo,1.46 / 1.84,15 / 1,Não tem / Não tem
38,Bahia,Atlético-MG,1.62 / 2.54,1 / 1,Não tem / Não tem
38,Bragantino,Fluminense,1.62 / 1.50,8 / 7,Não tem / Não tem
38,Cruzeiro,Internacional,2.45 / 2.12,1 / 8,Não tem / Não tem
38,Flamengo,Chapecoense,1.83 / 1.31,30 / 7,Não tem / Não tem
38,Grêmio,Mirassol,2.43 / 2.18,1 / 1,Não tem / Não tem
38,Palmeiras,Coritiba,1.90 / 1.67,8 / 1,Não tem / Não tem
38,Remo,Corinthians,2.39 / 1.26,1 / 15,Não tem / Não tem
38,Santos,Botafogo,2.05 / 2.03,8 / 30,Não tem / Não tem
38,Vasco,Vitória,2.37 / 1.61,1 / 2,Não tem / Não tem
