Posição Projetada,Time,Posição Atual,Delta,Pts Projetados,Prob. Campeão,Prob. G4,Prob. G6,Prob. Z4
1,Flamengo,2,1,74.4,22.4,56.7,69.7,2.6
2,Palmeiras,1,-1,74.4,20.8,57.4,71.3,2.0
3,Atlético-MG,7,4,64.2,8.0,32.8,47.1,7.5
4,Mirassol,17,13,64.2,9.2,33.1,46.2,8.8
5,Cruzeiro,5,0,63.0,6.1,28.0,42.3,8.0
6,Botafogo,11,5,61.4,6.2,27.2,41.0,10.0
7,Fluminense,4,-3,57.4,3.2,17.6,28.7,14.6
8,Bragantino,8,0,55.7,3.4,16.8,27.8,19.7
9,Grêmio,15,6,54.7,3.3,15.7,24.8,21.3
10,Bahia,6,-4,54.3,2.3,14.0,23.3,20.8
11,Internacional,16,5,53.8,2.2,13.1,22.2,21.0
12,Athletico-PR,3,-9,53.8,2.1,12.6,22.0,21.0
13,Remo,18,5,52.5,1.5,11.0,20.1,23.3
14,Santos,14,0,51.8,2.1,12.4,20.9,25.3
15,Vasco,19,4,51.5,1.7,10.8,18.8,26.5
16,Coritiba,10,-6,51.2,1.3,10.5,18.6,27.1
17,São Paulo,13,-4,51.0,1.5,10.8,18.8,26.8
18,Corinthians,9,-9,49.3,1.3,8.9,15.6,30.2
19,Vitória,12,-7,48.1,0.9,7.1,13.8,33.2
20,Chapecoense,20,0,40.3,0.5,3.5,7.0,50.4
