Time,R²,Intercepto,Rodada,Rodada ao Quadrado,Interação Rodada × Time,Interação Rodada ao Quadrado × Time,Forma Recente,Força dos Adversários Passados,Proporção Casa,Dias de Descanso,Classificatórias,Oitavas,Quartas,Semi,Final
Athletico-PR,0.8888,**,***,*,-,-,***,*,**,*,-,-,-,*,-
Atlético-MG,0.8888,***,***,*,-,*,***,*,**,*,-,-,-,*,-
Bahia,0.8888,***,***,*,*,-,***,*,**,*,-,-,-,*,-
Botafogo,0.8888,***,***,*,-,-,***,*,**,*,-,-,-,*,-
Bragantino,0.8888,***,***,*,**,*,***,*,**,*,-,-,-,*,-
Chapecoense,0.8888,**,***,*,-,-,***,*,**,*,-,-,-,*,-
Corinthians,0.8888,*,***,*,-,-,***,*,**,*,-,-,-,*,-
Coritiba,0.8888,***,***,*,-,-,***,*,**,*,-,-,-,*,-
Cruzeiro,0.8888,***,***,*,-,-,***,*,**,*,-,-,-,*,-
Flamengo,0.8888,***,***,*,***,-,***,*,**,*,-,-,-,*,-
Fluminense,0.8888,***,***,*,-,-,***,*,**,*,-,-,-,*,-
Grêmio,0.8888,**,***,*,-,*,***,*,**,*,-,-,-,*,-
Internacional,0.8888,*,***,*,-,*,***,*,**,*,-,-,-,*,-
Mirassol,0.8888,***,***,*,-,*,***,*,**,*,-,-,-,*,-
Palmeiras,0.8888,***,***,*,***,-,***,*,**,*,-,-,-,*,-
Remo,0.8888,*,***,*,-,-,***,*,**,*,-,-,-,*,-
Santos,0.8888,***,***,*,-,-,***,*,**,*,-,-,-,*,-
São Paulo,0.8888,*,***,*,-,-,***,*,**,*,-,-,-,*,-
Vasco,0.8888,***,***,*,-,-,***,*,**,*,-,-,-,*,-
Vitória,0.8888,***,***,*,-,-,***,*,**,*,-,-,-,*,-
